actor,movie_or_TV_name
Diego Calva,"Sleeping Dogs Lie,A ciegas,Babylon,Bonded,Narcos: Mexico,Beautiful Losers,Tigres,Unstoppable,ColOZio,El Recluso,Otro muerto,Help Me Make It Through the Night,I Promise You Anarchy,Ficción"
Scoot McNairy,"McCarthy,Pantheon,The Line,Lyle, Lyle, Crocodile,Blonde,Luckiest Girl Alive,Narcos: Mexico,C'mon C'mon,Hank the Cowdog,The Comey Rule,Love Life,A Quiet Place Part II,Carl's Motel,Once Upon a Time... In Hollywood,The Parts You Lose,True Detective,Destroyer,Long Way Back Home,The Legacy of a Whitetail Deer Hunter,Godless,Halt and Catch Fire,War Machine,Fargo,Aftermath,Sleepless,Batman v Superman: Dawn of Justice,Our Brand Is Crisis,Axe Cop,Lamb,Black Sea,Gone Girl,The Rover,Marvel One-Shot: All Hail the King,Non-Stop,Frank,Dragon Day,12 Years a Slave,A Light Repast,Touchy Feely,Promised Land,Argo,The Napkin,Killing Them Softly,Amor Fati,B-,The Whole Truth,Angry White Man,A Night in the Woods,Bones,The Off Hours,Wreckage,Wes and Ella,Everything Will Happen Before You Die,Monsters,Cop Out,Shipping and Receiving,Mr. Sadman,CSI: Crime Scene Investigation,The Resurrection of Officer Rollins,Wednesday Again,Eleventh Hour,My Name Is Earl,The Shield,Murder 101,Blind Man,How I Met Your Mother,In Search of a Midnight Kiss,More, Patience,Mr. Fix It,The Shadow Effect,Bobby,Jake in Progress,Art School Confidential,Marcus,Close to Home,Six Feet Under,Herbie Fully Loaded,Sleepover,Good Girls Don't...,White Men in Seminole Flats,D.E.B.S.,Silenced,Wonderland,Sexless,Plugged In,Wrong Numbers"
Yul Vazquez,"The Prince of Soho,Severance,The White House Plumbers,Promised Land,Succession,Books of Blood,The Outsider,I Am the Night,Russian Doll,SEAL Team,Narcos: Mexico,Midnight, Texas,FBI,Some Bad News,O.G.,The Looming Tower,Gringo,Divorce,Madam Secretary,The Super,Last Flag Flying,Bloodline,1 Mile to You,Crown Heights,True Memoirs of an International Assassin,Beast or Raven,The Infiltrator,Elementary,The Phenom,Anesthesia,Babylon Fields,Fugly!,Kill the Messenger,The Lottery,The Cobbler,Time Out of Mind,Glass Chin,Person of Interest,Rob the Mob,Take Care,100 Monologues,Treme,Captain Phillips,Runner Runner,Magic City,Blood Ties,Law & Order: Special Victims Unit,The Good Wife,Louie,Father/Son,Little Fockers: Deleted Scenes,Salvation Boulevard,Little Fockers,Lies in Plain Sight,Amigo,The A-Team,F--K,Beware the Gonzo,Futurestates,Grand Theft Auto IV: The Ballad of Gay Tony,The Missing Person,Fringe,Che: Part Two,Che: Part One,The Marconi Bros.,American Gangster,The Box,Anamorph,Jesus Cooks Me Breakfast,The Take,Southern Gothic,Music Within,The Ex,Grand Theft Auto: Vice City Stories,Things That Hang from Trees,War of the Worlds,The F Word,The Stendhal Syndrome,Bad Boys II,Keen Eddie,The Sopranos,Courage the Cowardly Dog,The Adventures of Tom Thumb & Thumbelina,Running Time,Asterix & Obelix: Mission Cleopatra,Sex and the City,Big Apple,Law & Order,Traffic,Drowning Mona,Mondo Picasso,Runaway Bride,Man of the Century,A Day Without a Mexican,The Call Back,Trinity,Seinfeld,Temporarily Yours,Touched by an Angel,The Last Big Thing,High Tide,Jake's Women,The Price of Love,Nick of Time,The Watcher,Somebody to Love,Coach,Fresh,Walker, Texas Ranger,The Untouchables,Strapped,Night Owl,Fly by Night,Screenplay,Tales from the Crypt,The Mambo Kings"
Viviana Serna,"Lambs Among Wolves,Supertitlán,Thousand Fangs,Narcos: Mexico,Noches con Platanito,Qué verán los dragones en chicas como yo,Tramposos con suerte,El Señor de los Cielos,Drunk History: El Lado Borroso De La Historia,Guerra de Idolos,40 y 20,Por siempre Joan Sebastián,Between Sea and Land,Blessed Child,La ronca de oro,La Viuda Negra,Lady of Steel,La Madame,Historias clasificadas,Tu voz estéreo,¿Quién Eres Tú?,La Ruta Blanca,La Bruja,Niñas mal"
Milton Cortés,"El Secreto del Retrato,Pseudo,Narcos: Mexico,Club de Cuervos,Paquita la del Barrio,Olvidados,Viaje de generación,Outlaws,La castración,The Andes Don't Believe in God,Mujer, casos de la vida real,Salomé,DKDA: Sueños de juventud,Hijos del viento,Labyrinths of Passion,Señora,En las manos de Dios,Te dejaré de amar,Jonah and the Pink Whale"
Iván Aragón,"El Jardin aka: Narco Killer,Control Z,Narcos: Mexico,La Muchacha Que Limpia,No Man's Land,Presa,Tijuana,El Chapo,Enemigo Íntimo,Exodo,No hay cambio"
James Earl,"Sprung,Insecure,True Story,Narcos: Mexico,Shameless,Night School,All Day and a Night,Brews Brothers,Bad Furniture,Grey's Anatomy,The Good Doctor,Wayne,Dan the Weatherman,Now and Then,Room 104,Hannah Royce's Questionable Choices,Bones,Scream Queens,The Belko Experiment,Cooper Barrett's Guide to Surviving Life,Extant,The Lazarus Effect,Ground Floor,Mom,Young & Hungry,H.A.C.K.S,Awesometown,Austin & Ally,Psych,Glee,Necessary Roughness,Glory Daze,No Ordinary Family,Weeds,Community,Cold Case,Half Truth,Fired Up!,CSI: Crime Scene Investigation,Las Vegas,Crossing Jordan,Gridiron Gang,ER,Drake & Josh"
Luna Beltran,"Fue El Estado, Fuimos Todos,Narcos: Mexico,Enemigo Íntimo,El Vato"
Emilio Guerrero,"Malverde: El Santo Patrón,Te acuerdas de mí,Narcos: Mexico,Claramente,La Usurpadora,Preso No. 1,Club de Cuervos,La Bandida,An Unknown Enemy,Recuperando a mi Ex,Falco,Atrapada,American Curious,Paquita la del Barrio,Érase una vez,Mexico Barbaro 2,Las 13 Esposas de Wilson Fernandez,Los Justicieros,Sr. Ávila,Un día cualquiera,Dios Inc.,Sensato Delirio,Caminos de Guanajuato,Estrellas solitarias,Los Reyes del Juego,Huérfanos,Camelia La Texana,Prohibido Amar,Pulling Strings,El Señor de los Cielos,Pacientes,Años después,En el ombligo del cielo,Suave patria,Amor Cautivo,A corazón abierto,The Greatest Miracle,The Last Death,Dialogos Constructivos,Bajo el alma,Crimenes de Lujuria,XY. La revista,Goodbye Cruel World,Hell,Afuera,Depositarios,Iker pelos tiesos,Eternamente tuya,Under the Salt,Cosita linda,Capadocia,Amor letra por letra,Día de difuntos,Vivir por ti,Sleep Dealer,Lo que se hereda no se hurta,Revotando,Desde el espejo,Línea nocturna,Marina,Con lujo de detalle,Amor en custodia,Vive en nuestros corazones,Yo también te quiero,Como una espina,La vida y obra de John H.,Esperanza,La aventura de México desconocido,Zapata: Amor en rebeldía,Cero y van 4,Coronado,Calvario,Ladrón de Corazones,Tal para cual,Here Was the Anthem,Lo que callamos las mujeres,Un mundo raro,Sr. L.B.,Vivir también mañana,Señora,Fibra óptica,El amor de mi vida,Sonríe,Tric Trac,Dos crímenes,Ángeles sin paraíso,Pasión y poder,El extraño Retorno de Diana Salazar,Lo negro del 'Negro'... (Poder que corrompe),The Adventures of Oliver Twist,Quinceañera,Cuna de lobos,Missing"
Marilyn Uribe,"Repeater,Love, Hopefully,Narcos: Mexico,Esta historia me suena,Te acuerdas de mí,Anillo de Papel,School of Hollywood,Amor Mutante,Lo que la gente cuenta,Los Polinesios: Gracias,Yankee,Las Buchonas de tierra blanca,The Romanoffs,Ajuste de cuentas,Chicas de Hoy,Cine Loteria,El Cesar,La rosa de Guadalupe,Puchi,Ayer,Paquita la del Barrio,Ávido,Su nombre era Dolores, la Jenn que yo conocí,Perseguidos,Inbox a sangre fria,Los Justicieros,Un día cualquiera,Waking Up with You,Como dice el dicho,El Profesional,After Party,El sacristán,Cerradi las 24 Horas"
